SEASON_ID,Player_ID,Game_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLUS_MINUS,VIDEO_AVAILABLE,PLAYER_NAME,SEASON
22022,1628369,22201206,"Apr 07, 2023",BOS vs. TOR,W,20,7,12,0.583,0,5,0.0,7,9,0.778,1,2,3,4,0,0,3,2,21,23,1,Jayson Tatum,2022-23
22022,1628369,22201181,"Apr 04, 2023",BOS @ PHI,L,38,7,20,0.35,2,8,0.25,3,5,0.6,1,5,6,6,3,0,2,2,19,-13,1,Jayson Tatum,2022-23
22022,1628369,22201152,"Mar 31, 2023",BOS vs. UTA,W,36,12,17,0.706,5,8,0.625,10,11,0.909,1,10,11,3,3,0,0,4,39,7,1,Jayson Tatum,2022-23
22022,1628369,22201146,"Mar 30, 2023",BOS @ MIL,W,31,12,18,0.667,8,10,0.8,8,8,1.0,1,7,8,1,0,0,0,1,40,36,1,Jayson Tatum,2022-23
22022,1628369,22201130,"Mar 28, 2023",BOS @ WAS,L,32,11,19,0.579,2,7,0.286,4,4,1.0,0,9,9,5,0,1,3,4,28,-10,1,Jayson Tatum,2022-23
22022,1628369,22201097,"Mar 24, 2023",BOS vs. IND,W,32,13,24,0.542,3,9,0.333,5,6,0.833,0,7,7,2,2,0,6,3,34,23,1,Jayson Tatum,2022-23
22022,1628369,22201081,"Mar 21, 2023",BOS @ SAC,W,35,14,25,0.56,2,7,0.286,6,11,0.545,1,7,8,4,2,0,1,0,36,21,1,Jayson Tatum,2022-23
22022,1628369,22201062,"Mar 18, 2023",BOS @ UTA,L,39,4,12,0.333,3,8,0.375,4,6,0.667,0,3,3,6,0,1,2,3,15,-13,1,Jayson Tatum,2022-23
22022,1628369,22201053,"Mar 17, 2023",BOS @ POR,W,36,8,20,0.4,2,11,0.182,16,18,0.889,1,11,12,4,3,0,5,2,34,11,1,Jayson Tatum,2022-23
22022,1628369,22201039,"Mar 15, 2023",BOS @ MIN,W,37,4,16,0.25,0,8,0.0,14,16,0.875,1,11,12,2,2,1,2,5,22,-3,1,Jayson Tatum,2022-23
22022,1628369,22201024,"Mar 13, 2023",BOS @ HOU,L,41,8,22,0.364,2,10,0.2,4,4,1.0,0,8,8,6,1,0,4,1,22,-2,1,Jayson Tatum,2022-23
